Heure / Mois,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
00:00:00,1,1,1,1,1,1,1,1,1,1,1,1
01:00:00,1,1,1,1,1,1,1,1,1,1,1,1
02:00:00,1,1,1,1,1,1,1,1,1,1,1,1
03:00:00,1,1,1,1,1,1,1,1,1,1,1,1
04:00:00,1,1,1,1,1,1,1,1,1,1,1,1
05:00:00,1,1,1,1,1,1,1,1,1,1,1,1
06:00:00,1,1,1,2,2,2,2,2,2,1,1,1
07:00:00,2,2,2,2,2,2,2,2,2,2,2,2
08:00:00,2,2,2,2,2,2,2,2,2,2,2,2
09:00:00,2,2,2,2,2,2,2,2,2,2,2,2
10:00:00,2,2,2,2,2,2,2,2,2,2,2,2
11:00:00,2,2,2,2,2,2,2,2,2,2,2,2
12:00:00,2,2,2,2,2,2,3,3,3,2,2,2
13:00:00,2,2,2,2,2,2,3,3,3,2,2,2
14:00:00,2,2,2,2,2,2,3,3,3,2,2,2
15:00:00,2,2,2,2,2,2,3,3,3,2,2,2
16:00:00,2,2,2,2,2,2,2,2,2,2,2,2
17:00:00,2,2,2,2,2,2,2,2,2,2,2,2
18:00:00,3,3,3,3,3,3,2,2,2,3,3,3
19:00:00,3,3,3,3,3,3,3,3,3,3,3,3
20:00:00,3,3,3,3,3,3,3,3,3,3,3,3
21:00:00,3,3,3,3,3,3,3,3,3,3,3,3
22:00:00,3,3,3,3,3,3,3,3,3,3,3,3
23:00:00,1,1,1,1,1,1,3,3,3,1,1,1
